site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/7 01:30,10.2135,0.616517,9.62E-05,0.061623267,0
1,2024/1/7 02:00,10.2133,0.616525,9.63E-05,0.06162467,0
1,2024/1/7 02:30,10.2132,0.616534,9.63E-05,0.061625872,0
1,2024/1/7 03:00,10.2131,0.616543,9.62E-05,0.061627073,0
1,2024/1/7 03:30,10.2129,0.616551,9.62E-05,0.061628476,0
1,2024/1/7 04:00,10.2128,0.61656,9.62E-05,0.061629677,0
1,2024/1/7 04:30,10.2126,0.616569,9.62E-05,0.061631181,0
1,2024/1/7 05:00,10.2125,0.616578,9.61E-05,0.061632382,0
1,2024/1/7 05:30,10.2123,0.616587,9.61E-05,0.061633885,0
1,2024/1/7 06:00,10.2122,0.616596,9.62E-05,0.061635086,0
1,2024/1/7 06:30,10.2121,0.616605,9.61E-05,0.061636288,0
1,2024/1/7 07:00,10.2119,0.616614,9.61E-05,0.061637791,0
1,2024/1/7 07:30,10.2118,0.616622,9.61E-05,0.061638893,0
1,2024/1/7 08:00,10.2116,0.61663,9.60E-05,0.061640296,0
1,2024/1/7 08:30,10.2115,0.616639,9.60E-05,0.061641497,0
1,2024/1/7 09:00,10.2113,0.616646,9.59E-05,0.061642801,0
1,2024/1/7 09:30,10.2112,0.616652,9.60E-05,0.061643702,0
1,2024/1/7 10:00,10.2111,0.616661,9.60E-05,0.061644904,0
1,2024/1/7 10:30,10.2109,0.616669,9.58E-05,0.061646307,0
1,2024/1/7 11:00,10.2108,0.616677,9.60E-05,0.061647409,0
1,2024/1/7 11:30,10.2106,0.616685,9.58E-05,0.061648813,0
1,2024/1/7 12:00,10.2105,0.616693,9.59E-05,0.061649914,0
1,2024/1/7 12:30,10.2104,0.616699,9.58E-05,0.061650816,0
1,2024/1/7 13:00,10.2102,0.616707,9.59E-05,0.061652219,0
1,2024/1/7 13:30,10.2101,0.616715,9.58E-05,0.061653321,0
1,2024/1/7 14:00,10.21,0.616722,9.58E-05,0.061654323,0
1,2024/1/7 14:30,10.2098,0.616729,9.57E-05,0.061655627,0
1,2024/1/7 15:00,10.2097,0.616737,9.58E-05,0.061656728,0
1,2024/1/7 15:30,10.2096,0.616744,9.58E-05,0.06165773,0
1,2024/1/7 16:00,10.2094,0.616751,9.58E-05,0.061659034,0
1,2024/1/7 16:30,10.2093,0.616758,9.57E-05,0.061660036,0
1,2024/1/7 17:00,10.2092,0.616766,9.57E-05,0.061661137,0
1,2024/1/7 17:30,10.2091,0.616773,9.57E-05,0.061662139,0
1,2024/1/7 18:00,10.2089,0.616779,9.57E-05,0.061663343,0
1,2024/1/7 18:30,10.2088,0.616786,9.57E-05,0.061664345,0
1,2024/1/7 19:00,10.2087,0.616793,9.57E-05,0.061665347,0
1,2024/1/7 19:30,10.2086,0.6168,9.56E-05,0.061666349,0
1,2024/1/7 20:00,10.2084,0.616807,9.56E-05,0.061667653,0
